
line,tech_id,com_id,schedule_origin_code,schedule_destination_code,schedule_origin_name,schedule_destination_name,schedule_origin_departure_time,schedule_destination_arrival_time,schedule_stop_code,schedule_stop_name,schedule_stop_arrival_time,schedule_stop_departure_time
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78600,Manresa,22-07-2022 19:01:00,22-07-2022 19:01:00
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78604,Sant Vicenç de Castellet,22-07-2022 19:09:00,22-07-2022 19:10:00
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78700,Terrassa,22-07-2022 19:32:00,22-07-2022 19:33:00
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78710,Terrassa Est,22-07-2022 19:35:00,22-07-2022 19:36:00
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78709,Sabadell Nord,22-07-2022 19:39:00,22-07-2022 19:40:00
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78704,Sabadell Centre,22-07-2022 19:42:00,22-07-2022 19:43:00
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78703,Sabadell Sud,22-07-2022 19:45:00,22-07-2022 19:46:00
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78705,Barberà del Vallès,22-07-2022 19:48:00,22-07-2022 19:49:00
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78706,Cerdanyola del Vallès,22-07-2022 19:51:00,22-07-2022 19:52:00
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78707,Montcada i Reixac-Santa Maria,22-07-2022 19:53:00,22-07-2022 19:54:00
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78708,Montcada i Reixac-Manresa,22-07-2022 19:56:00,22-07-2022 19:57:00
R4,77560,77560,78600,72204,Manresa,Vilafranca del Penedès,22-07-2022 19:01:00,22-07-2022 21:18:00,78800,Montcada Bifurcació,22-07-2022 19:59:00,22-07-2022 20:00:00
